Species,Species_ID,Edible,Measure_Type,Length,Weight
Albacore (M&F),533.0,True,Fork length,63.0,9.8
Albacore (M&F),533.0,True,Fork length,64.0,10.3
Albacore (M&F),533.0,True,Fork length,65.0,10.8
Albacore (M&F),533.0,True,Fork length,66.0,11.4
Albacore (M&F),533.0,True,Fork length,67.0,12.0
Albacore (M&F),533.0,True,Fork length,68.0,12.5
Albacore (M&F),533.0,True,Fork length,69.0,13.2
Albacore (M&F),533.0,True,Fork length,70.0,13.8
Albacore (M&F),533.0,True,Fork length,71.0,14.5
Albacore (M&F),533.0,True,Fork length,72.0,15.1
Albacore (M&F),533.0,True,Fork length,73.0,15.8
Albacore (M&F),533.0,True,Fork length,74.0,16.6
Albacore (M&F),533.0,True,Fork length,75.0,17.3
Albacore (M&F),533.0,True,Fork length,76.0,18.1
Albacore (M&F),533.0,True,Fork length,77.0,18.9
Albacore (M&F),533.0,True,Fork length,78.0,19.7
Albacore (M&F),533.0,True,Fork length,79.0,20.5
Albacore (M&F),533.0,True,Fork length,80.0,21.4
Albacore (M&F),533.0,True,Fork length,81.0,22.3
Albacore (M&F),533.0,True,Fork length,82.0,23.2
Albacore (M&F),533.0,True,Fork length,83.0,24.1
Albacore (M&F),533.0,True,Fork length,84.0,25.1
Albacore (M&F),533.0,True,Fork length,85.0,26.1
Albacore (M&F),533.0,True,Fork length,86.0,27.1
Albacore (M&F),533.0,True,Fork length,87.0,28.2
Albacore (M&F),533.0,True,Fork length,88.0,29.3
Albacore (M&F),533.0,True,Fork length,89.0,30.4
Albacore (M&F),533.0,True,Fork length,90.0,31.5
Albacore (M&F),533.0,True,Fork length,91.0,32.7
Albacore (M&F),533.0,True,Fork length,92.0,33.9
Albacore (M&F),533.0,True,Fork length,93.0,35.1
Albacore (M&F),533.0,True,Fork length,94.0,36.3
Albacore (M&F),533.0,True,Fork length,95.0,37.6
Albacore (M&F),533.0,True,Fork length,96.0,38.9
Albacore (M&F),533.0,True,Fork length,97.0,40.3
Albacore (M&F),533.0,True,Fork length,98.0,41.7
Albacore (M&F),533.0,True,Fork length,99.0,43.1
Albacore (M&F),533.0,True,Fork length,100.0,44.5
Albacore (M&F),533.0,True,Fork length,101.0,46.0
Albacore (M&F),533.0,True,Fork length,102.0,47.5
Albacore (M&F),533.0,True,Fork length,103.0,49.1
Albacore (M&F),533.0,True,Fork length,104.0,50.6
Albacore (M&F),533.0,True,Fork length,105.0,52.2
Albacore (M&F),533.0,True,Fork length,106.0,53.9
Albacore (M&F),533.0,True,Fork length,107.0,55.6
Albacore (M&F),533.0,True,Fork length,108.0,57.3
Albacore (M&F),533.0,True,Fork length,109.0,59.1
Albacore (M&F),533.0,True,Fork length,110.0,60.9
Albacore (M&F),533.0,True,Fork length,111.0,62.7
Albacore (M&F),533.0,True,Fork length,112.0,64.6
Albacore (M&F),533.0,True,Fork length,113.0,66.5
Albacore (M&F),533.0,True,Fork length,114.0,68.4
Albacore (M&F),533.0,True,Fork length,115.0,70.4
Albacore (M&F),533.0,True,Fork length,116.0,72.5
Albacore (M&F),533.0,True,Fork length,117.0,74.5
Albacore (M&F),533.0,True,Fork length,118.0,76.7
Albacore (M&F),533.0,True,Fork length,119.0,78.8
Albacore (M&F),533.0,True,Fork length,120.0,81.0
Albacore (M&F),533.0,True,Fork length,121.0,83.2
Albacore (M&F),533.0,True,Fork length,122.0,85.5
Albacore (M&F),533.0,True,Fork length,123.0,87.8
Albacore (M&F),533.0,True,Fork length,124.0,90.2
Albacore (M&F),533.0,True,Fork length,125.0,92.6
Albacore (M&F),533.0,True,Fork length,126.0,95.1
Albacore (M&F),533.0,True,Fork length,127.0,97.6
Albacore (M&F),533.0,True,Fork length,128.0,100.1
Albacore (M&F),533.0,True,Fork length,129.0,102.7
Albacore (M&F),533.0,True,Fork length,130.0,105.4
Albacore (M&F),533.0,True,Fork length,131.0,108.0
Albacore (M&F),533.0,True,Fork length,132.0,110.8
Albacore (M&F),533.0,True,Fork length,133.0,113.5
Albacore (M&F),533.0,True,Fork length,134.0,116.4
Albacore (M&F),533.0,True,Fork length,135.0,119.2
Albacore (M&F),533.0,True,Fork length,136.0,122.2
Albacore (M&F),533.0,True,Fork length,137.0,125.1
Albacore (M&F),533.0,True,Fork length,138.0,128.2
Albacore (M&F),533.0,True,Fork length,139.0,131.2
Albacore (M&F),533.0,True,Fork length,140.0,134.4
Albacore (M&F),533.0,True,Fork length,141.0,137.6
Albacore (M&F),533.0,True,Fork length,142.0,140.8
Albacore (M&F),533.0,True,Fork length,143.0,144.1
Albacore (M&F),533.0,True,Fork length,144.0,147.4
Albacore (M&F),533.0,True,Fork length,145.0,150.8
Albacore (M&F),533.0,True,Fork length,146.0,154.2
Albacore (M&F),533.0,True,Fork length,147.0,157.7
Albacore (M&F),533.0,True,Fork length,148.0,161.3
Albacore (M&F),533.0,True,Fork length,149.0,164.9
Albacore (M&F),533.0,True,Fork length,150.0,168.5
Albacore (M&F),533.0,True,Fork length,151.0,172.3
Albacore (M&F),533.0,True,Fork length,152.0,176.0
Albacore (M&F),533.0,True,Fork length,153.0,179.9
Albacore (M&F),533.0,True,Fork length,154.0,183.8
Albacore (M&F),533.0,True,Fork length,155.0,187.7
Albacore (M&F),533.0,True,Fork length,156.0,191.7
Albacore (M&F),533.0,True,Fork length,157.0,195.8
Albacore (M&F),533.0,True,Fork length,158.0,199.9
Albacore (M&F),533.0,True,Fork length,159.0,204.1
Albacore (M&F),533.0,True,Fork length,160.0,208.3
Albacore (M&F),533.0,True,Fork length,161.0,212.6
Albacore (M&F),533.0,True,Fork length,162.0,217.0
Albacore (M&F),533.0,True,Fork length,163.0,221.4
Albacore (M&F),533.0,True,Fork length,164.0,225.9
Albacore (M&F),533.0,True,Fork length,165.0,230.5
Albacore (M&F),533.0,True,Fork length,166.0,235.1
Albacore (M&F),533.0,True,Fork length,167.0,239.8
Albacore (M&F),533.0,True,Fork length,168.0,244.5
Albacore (M&F),533.0,True,Fork length,169.0,249.3
Albacore (M&F),533.0,True,Fork length,170.0,254.2
Albacore (M&F),533.0,True,Fork length,171.0,259.2
Albacore (M&F),533.0,True,Fork length,172.0,264.2
Albacore (M&F),533.0,True,Fork length,173.0,269.2
Albacore (M&F),533.0,True,Fork length,174.0,274.4
Albacore (M&F),533.0,True,Fork length,175.0,279.6
Albacore (M&F),533.0,True,Fork length,176.0,284.9
Albacore (M&F),533.0,True,Fork length,177.0,290.2
Albacore (M&F),533.0,True,Fork length,178.0,295.6
Albacore (M&F),533.0,True,Fork length,179.0,301.1
Albacore (M&F),533.0,True,Fork length,180.0,306.7
Albacore (M&F),533.0,True,Fork length,181.0,312.3
Albacore (M&F),533.0,True,Fork length,182.0,318.0
Albacore (M&F),533.0,True,Fork length,183.0,323.8
Albacore (M&F),533.0,True,Fork length,184.0,329.6
Albacore (M&F),533.0,True,Fork length,185.0,335.6
Albacore (M&F),533.0,True,Fork length,186.0,341.6
Albacore (M&F),533.0,True,Fork length,187.0,347.6
Albacore (M&F),533.0,True,Fork length,188.0,353.8
Albacore (M&F),533.0,True,Fork length,189.0,360.0
Albacore (M&F),533.0,True,Fork length,190.0,366.3
Albacore (M&F),533.0,True,Fork length,191.0,372.6
Albacore (M&F),533.0,True,Fork length,192.0,379.1
Albacore (M&F),533.0,True,Fork length,193.0,385.6
Albacore (M&F),533.0,True,Fork length,194.0,392.2
Albacore (M&F),533.0,True,Fork length,195.0,398.9
Albacore (M&F),533.0,True,Fork length,196.0,405.6
Albacore (M&F),533.0,True,Fork length,197.0,412.5
Albacore (M&F),533.0,True,Fork length,198.0,419.4
Albacore (M&F),533.0,True,Fork length,199.0,426.4
Albacore (M&F),533.0,True,Fork length,200.0,433.5
Albacore (M&F),533.0,True,Fork length,201.0,440.6
Albacore (M&F),533.0,True,Fork length,202.0,447.9
Albacore (M&F),533.0,True,Fork length,203.0,455.2
Albacore (M&F),533.0,True,Fork length,204.0,462.6
Albacore (M&F),533.0,True,Fork length,205.0,470.1
Albacore (M&F),533.0,True,Fork length,206.0,477.6
Albacore (M&F),533.0,True,Fork length,207.0,485.3
Albacore (M&F),533.0,True,Fork length,208.0,493.0
Albacore (M&F),533.0,True,Fork length,209.0,500.9
Albacore (M&F),533.0,True,Fork length,210.0,508.8
Albacore (M&F),533.0,True,Fork length,211.0,516.8
Albacore (M&F),533.0,True,Fork length,212.0,524.9
Albacore (M&F),533.0,True,Fork length,213.0,533.0
Albacore (M&F),533.0,True,Fork length,214.0,541.3
Albacore (M&F),533.0,True,Fork length,215.0,549.7
Albacore (M&F),533.0,True,Fork length,216.0,558.1
Albacore (M&F),533.0,True,Fork length,217.0,566.6
Albacore (M&F),533.0,True,Fork length,218.0,575.2
Albacore (M&F),533.0,True,Fork length,219.0,584.0
Albacore (M&F),533.0,True,Fork length,220.0,592.8
Albacore (M&F),533.0,True,Fork length,221.0,601.6
Albacore (M&F),533.0,True,Fork length,222.0,610.6
Albacore (M&F),533.0,True,Fork length,223.0,619.7
Albacore (M&F),533.0,True,Fork length,224.0,628.9
Albacore (M&F),533.0,True,Fork length,225.0,638.1
Albacore (M&F),533.0,True,Fork length,226.0,647.5
Albacore (M&F),533.0,True,Fork length,227.0,657.0
Albacore (M&F),533.0,True,Fork length,228.0,666.5
Albacore (M&F),533.0,True,Fork length,229.0,676.2
Albacore (M&F),533.0,True,Fork length,230.0,685.9
Albacore (M&F),533.0,True,Fork length,231.0,695.7
Albacore (M&F),533.0,True,Fork length,232.0,705.7
Albacore (M&F),533.0,True,Fork length,233.0,715.7
Albacore (M&F),533.0,True,Fork length,234.0,725.9
Albacore (M&F),533.0,True,Fork length,235.0,736.1
Albacore (M&F),533.0,True,Fork length,236.0,746.4
Albacore (M&F),533.0,True,Fork length,237.0,756.9
Albacore (M&F),533.0,True,Fork length,238.0,767.4
Albacore (M&F),533.0,True,Fork length,239.0,778.0
Albacore (M&F),533.0,True,Fork length,240.0,788.8
Albacore (M&F),533.0,True,Fork length,241.0,799.6
Albacore (M&F),533.0,True,Fork length,242.0,810.6
Albacore (M&F),533.0,True,Fork length,243.0,821.6
Albacore (M&F),533.0,True,Fork length,244.0,832.8
Albacore (M&F),533.0,True,Fork length,245.0,844.0
Albacore (M&F),533.0,True,Fork length,246.0,855.4
Albacore (M&F),533.0,True,Fork length,247.0,866.9
Albacore (M&F),533.0,True,Fork length,248.0,878.5
Albacore (M&F),533.0,True,Fork length,249.0,890.1
Albacore (M&F),533.0,True,Fork length,250.0,901.9
Albacore (M&F),533.0,True,Fork length,251.0,913.8
Albacore (M&F),533.0,True,Fork length,252.0,925.8
Albacore (M&F),533.0,True,Fork length,253.0,938.0
Albacore (M&F),533.0,True,Fork length,254.0,950.2
Albacore (M&F),533.0,True,Fork length,255.0,962.5
Albacore (M&F),533.0,True,Fork length,256.0,975.0
Albacore (M&F),533.0,True,Fork length,257.0,987.5
Albacore (M&F),533.0,True,Fork length,258.0,1000.2
Albacore (M&F),533.0,True,Fork length,259.0,1013.0
Albacore (M&F),533.0,True,Fork length,260.0,1025.9
Albacore (M&F),533.0,True,Fork length,261.0,1038.9
Albacore (M&F),533.0,True,Fork length,262.0,1052.0
Albacore (M&F),533.0,True,Fork length,263.0,1065.3
Albacore (M&F),533.0,True,Fork length,264.0,1078.6
Albacore (M&F),533.0,True,Fork length,265.0,1092.1
Albacore (M&F),533.0,True,Fork length,266.0,1105.7
Albacore (M&F),533.0,True,Fork length,267.0,1119.4
Albacore (M&F),533.0,True,Fork length,268.0,1133.2
Albacore (M&F),533.0,True,Fork length,269.0,1147.2
Albacore (M&F),533.0,True,Fork length,270.0,1161.2
Albacore (M&F),533.0,True,Fork length,271.0,1175.4
Albacore (M&F),533.0,True,Fork length,272.0,1189.7
Albacore (M&F),533.0,True,Fork length,273.0,1204.1
Albacore (M&F),533.0,True,Fork length,274.0,1218.7
Albacore (M&F),533.0,True,Fork length,275.0,1233.4
Albacore (M&F),533.0,True,Fork length,276.0,1248.1
Albacore (M&F),533.0,True,Fork length,277.0,1263.1
Albacore (M&F),533.0,True,Fork length,278.0,1278.1
Albacore (M&F),533.0,True,Fork length,279.0,1293.2
Albacore (M&F),533.0,True,Fork length,280.0,1308.5
Albacore (M&F),533.0,True,Fork length,281.0,1323.9
Albacore (M&F),533.0,True,Fork length,282.0,1339.5
Albacore (M&F),533.0,True,Fork length,283.0,1355.1
Albacore (M&F),533.0,True,Fork length,284.0,1370.9
Albacore (M&F),533.0,True,Fork length,285.0,1386.8
Albacore (M&F),533.0,True,Fork length,286.0,1402.9
Albacore (M&F),533.0,True,Fork length,287.0,1419.0
Albacore (M&F),533.0,True,Fork length,288.0,1435.3
Albacore (M&F),533.0,True,Fork length,289.0,1451.8
Albacore (M&F),533.0,True,Fork length,290.0,1468.3
Albacore (M&F),533.0,True,Fork length,291.0,1485.0
Albacore (M&F),533.0,True,Fork length,292.0,1501.9
Albacore (M&F),533.0,True,Fork length,293.0,1518.8
Albacore (M&F),533.0,True,Fork length,294.0,1535.9
Albacore (M&F),533.0,True,Fork length,295.0,1553.1
Albacore (M&F),533.0,True,Fork length,296.0,1570.5
Albacore (M&F),533.0,True,Fork length,297.0,1588.0
Albacore (M&F),533.0,True,Fork length,298.0,1605.6
Albacore (M&F),533.0,True,Fork length,299.0,1623.3
Albacore (M&F),533.0,True,Fork length,300.0,1641.2
Banded galjoen (M&F),479.0,True,Fork length,25.0,0.4
Banded galjoen (M&F),479.0,True,Fork length,26.0,0.5
Banded galjoen (M&F),479.0,True,Fork length,27.0,0.6
Banded galjoen (M&F),479.0,True,Fork length,28.0,0.6
Banded galjoen (M&F),479.0,True,Fork length,29.0,0.7
Banded galjoen (M&F),479.0,True,Fork length,30.0,0.8
Banded galjoen (M&F),479.0,True,Fork length,31.0,0.9
Banded galjoen (M&F),479.0,True,Fork length,32.0,0.9
Banded galjoen (M&F),479.0,True,Fork length,33.0,1.0
Banded galjoen (M&F),479.0,True,Fork length,34.0,1.1
Banded galjoen (M&F),479.0,True,Fork length,35.0,1.3
Banded galjoen (M&F),479.0,True,Fork length,36.0,1.4
Banded galjoen (M&F),479.0,True,Fork length,37.0,1.5
Banded galjoen (M&F),479.0,True,Fork length,38.0,1.6
Banded galjoen (M&F),479.0,True,Fork length,39.0,1.8
Banded galjoen (M&F),479.0,True,Fork length,40.0,1.9
Banded galjoen (M&F),479.0,True,Fork length,41.0,2.1
Banded galjoen (M&F),479.0,True,Fork length,42.0,2.2
Banded galjoen (M&F),479.0,True,Fork length,43.0,2.4
Banded galjoen (M&F),479.0,True,Fork length,44.0,2.6
Banded galjoen (M&F),479.0,True,Fork length,45.0,2.8
Banded galjoen (M&F),479.0,True,Fork length,46.0,3.0
Banded galjoen (M&F),479.0,True,Fork length,47.0,3.2
Banded galjoen (M&F),479.0,True,Fork length,48.0,3.4
Banded galjoen (M&F),479.0,True,Fork length,49.0,3.6
Banded galjoen (M&F),479.0,True,Fork length,50.0,3.9
Banded galjoen (M&F),479.0,True,Fork length,51.0,4.1
Banded galjoen (M&F),479.0,True,Fork length,52.0,4.4
Banded galjoen (M&F),479.0,True,Fork length,53.0,4.6
Banded galjoen (M&F),479.0,True,Fork length,54.0,4.9
Banded galjoen (M&F),479.0,True,Fork length,55.0,5.2
Banded galjoen (M&F),479.0,True,Fork length,56.0,5.5
Banded galjoen (M&F),479.0,True,Fork length,57.0,5.8
Banded galjoen (M&F),479.0,True,Fork length,58.0,6.2
Banded galjoen (M&F),479.0,True,Fork length,59.0,6.5
Banded galjoen (M&F),479.0,True,Fork length,60.0,6.8
Banded galjoen (M&F),479.0,True,Fork length,61.0,7.2
Banded galjoen (M&F),479.0,True,Fork length,62.0,7.6
Banded galjoen (M&F),479.0,True,Fork length,63.0,8.0
Banded galjoen (M&F),479.0,True,Fork length,64.0,8.4
Banded galjoen (M&F),479.0,True,Fork length,65.0,8.8
Banded galjoen (M&F),479.0,True,Fork length,66.0,9.2
Banded galjoen (M&F),479.0,True,Fork length,67.0,9.7
Banded galjoen (M&F),479.0,True,Fork length,68.0,10.2
Banded galjoen (M&F),479.0,True,Fork length,69.0,10.6
Banded galjoen (M&F),479.0,True,Fork length,70.0,11.1
Banded galjoen (M&F),479.0,True,Fork length,71.0,11.6
Banded galjoen (M&F),479.0,True,Fork length,72.0,12.2
Banded galjoen (M&F),479.0,True,Fork length,73.0,12.7
Banded galjoen (M&F),479.0,True,Fork length,74.0,13.3
Banded galjoen (M&F),479.0,True,Fork length,75.0,13.8
Banded galjoen (M&F),479.0,True,Fork length,76.0,14.4
Banded galjoen (M&F),479.0,True,Fork length,77.0,15.0
Banded galjoen (M&F),479.0,True,Fork length,78.0,15.7
Banded galjoen (M&F),479.0,True,Fork length,79.0,16.3
Banded galjoen (M&F),479.0,True,Fork length,80.0,17.0
Banded galjoen (M&F),479.0,True,Fork length,81.0,17.6
Banded galjoen (M&F),479.0,True,Fork length,82.0,18.3
Banded galjoen (M&F),479.0,True,Fork length,83.0,19.1
Banded galjoen (M&F),479.0,True,Fork length,84.0,19.8
Banded galjoen (M&F),479.0,True,Fork length,85.0,20.5
Banded galjoen (M&F),479.0,True,Fork length,86.0,21.3
Banded galjoen (M&F),479.0,True,Fork length,87.0,22.1
Banded galjoen (M&F),479.0,True,Fork length,88.0,22.9
Banded galjoen (M&F),479.0,True,Fork length,89.0,23.7
Banded galjoen (M&F),479.0,True,Fork length,90.0,24.6
Banded galjoen (M&F),479.0,True,Fork length,91.0,25.5
Banded galjoen (M&F),479.0,True,Fork length,92.0,26.4
Banded galjoen (M&F),479.0,True,Fork length,93.0,27.3
Banded galjoen (M&F),479.0,True,Fork length,94.0,28.2
Banded galjoen (M&F),479.0,True,Fork length,95.0,29.2
Banded galjoen (M&F),479.0,True,Fork length,96.0,30.1
Banded galjoen (M&F),479.0,True,Fork length,97.0,31.1
Banded galjoen (M&F),479.0,True,Fork length,98.0,32.2
Banded galjoen (M&F),479.0,True,Fork length,99.0,33.2
Banded galjoen (M&F),479.0,True,Fork length,100.0,34.3
Banded galjoen (M&F),479.0,True,Fork length,101.0,35.4
Banded galjoen (M&F),479.0,True,Fork length,102.0,36.5
Banded galjoen (M&F),479.0,True,Fork length,103.0,37.6
Banded galjoen (M&F),479.0,True,Fork length,104.0,38.8
Banded galjoen (M&F),479.0,True,Fork length,105.0,40.0
Banded galjoen (M&F),479.0,True,Fork length,106.0,41.2
Banded galjoen (M&F),479.0,True,Fork length,107.0,42.4
Banded galjoen (M&F),479.0,True,Fork length,108.0,43.7
Banded galjoen (M&F),479.0,True,Fork length,109.0,45.0
Banded galjoen (M&F),479.0,True,Fork length,110.0,46.3
Banded galjoen (M&F),479.0,True,Fork length,111.0,47.6
Banded galjoen (M&F),479.0,True,Fork length,112.0,49.0
Banded galjoen (M&F),479.0,True,Fork length,113.0,50.4
Banded galjoen (M&F),479.0,True,Fork length,114.0,51.8
Banded galjoen (M&F),479.0,True,Fork length,115.0,53.3
Banded galjoen (M&F),479.0,True,Fork length,116.0,54.7
Banded galjoen (M&F),479.0,True,Fork length,117.0,56.2
Banded galjoen (M&F),479.0,True,Fork length,118.0,57.8
Banded galjoen (M&F),479.0,True,Fork length,119.0,59.3
Banded galjoen (M&F),479.0,True,Fork length,120.0,60.9
Banded galjoen (M&F),479.0,True,Fork length,121.0,62.5
Banded galjoen (M&F),479.0,True,Fork length,122.0,64.2
Banded galjoen (M&F),479.0,True,Fork length,123.0,65.9
Banded galjoen (M&F),479.0,True,Fork length,124.0,67.6
Banded galjoen (M&F),479.0,True,Fork length,125.0,69.3
Banded galjoen (M&F),479.0,True,Fork length,126.0,71.0
Banded galjoen (M&F),479.0,True,Fork length,127.0,72.8
Banded galjoen (M&F),479.0,True,Fork length,128.0,74.7
Banded galjoen (M&F),479.0,True,Fork length,129.0,76.5
Banded galjoen (M&F),479.0,True,Fork length,130.0,78.4
Banded galjoen (M&F),479.0,True,Fork length,131.0,80.3
Banded galjoen (M&F),479.0,True,Fork length,132.0,82.3
Banded galjoen (M&F),479.0,True,Fork length,133.0,84.3
Banded galjoen (M&F),479.0,True,Fork length,134.0,86.3
Banded galjoen (M&F),479.0,True,Fork length,135.0,88.3
Banded galjoen (M&F),479.0,True,Fork length,136.0,90.4
Banded galjoen (M&F),479.0,True,Fork length,137.0,92.5
Banded galjoen (M&F),479.0,True,Fork length,138.0,94.7
Banded galjoen (M&F),479.0,True,Fork length,139.0,96.8
Banded galjoen (M&F),479.0,True,Fork length,140.0,99.0
Banded galjoen (M&F),479.0,True,Fork length,141.0,101.3
Banded galjoen (M&F),479.0,True,Fork length,142.0,103.6
Banded galjoen (M&F),479.0,True,Fork length,143.0,105.9
Banded galjoen (M&F),479.0,True,Fork length,144.0,108.2
Banded galjoen (M&F),479.0,True,Fork length,145.0,110.6
Banded galjoen (M&F),479.0,True,Fork length,146.0,113.1
Banded galjoen (M&F),479.0,True,Fork length,147.0,115.5
Banded galjoen (M&F),479.0,True,Fork length,148.0,118.0
Banded galjoen (M&F),479.0,True,Fork length,149.0,120.5
Banded galjoen (M&F),479.0,True,Fork length,150.0,123.1
Banded galjoen (M&F),479.0,True,Fork length,151.0,125.7
Banded galjoen (M&F),479.0,True,Fork length,152.0,128.4
Banded galjoen (M&F),479.0,True,Fork length,153.0,131.0
Banded galjoen (M&F),479.0,True,Fork length,154.0,133.8
Banded galjoen (M&F),479.0,True,Fork length,155.0,136.5
Banded galjoen (M&F),479.0,True,Fork length,156.0,139.3
Banded galjoen (M&F),479.0,True,Fork length,157.0,142.2
Banded galjoen (M&F),479.0,True,Fork length,158.0,145.0
Banded galjoen (M&F),479.0,True,Fork length,159.0,147.9
Banded galjoen (M&F),479.0,True,Fork length,160.0,150.9
Banded galjoen (M&F),479.0,True,Fork length,161.0,153.9
Banded galjoen (M&F),479.0,True,Fork length,162.0,156.9
Banded galjoen (M&F),479.0,True,Fork length,163.0,160.0
Banded galjoen (M&F),479.0,True,Fork length,164.0,163.1
Banded galjoen (M&F),479.0,True,Fork length,165.0,166.3
Banded galjoen (M&F),479.0,True,Fork length,166.0,169.5
Banded galjoen (M&F),479.0,True,Fork length,167.0,172.7
Banded galjoen (M&F),479.0,True,Fork length,168.0,176.0
Banded galjoen (M&F),479.0,True,Fork length,169.0,179.3
Banded galjoen (M&F),479.0,True,Fork length,170.0,182.7
Banded galjoen (M&F),479.0,True,Fork length,171.0,186.1
Banded galjoen (M&F),479.0,True,Fork length,172.0,189.5
Banded galjoen (M&F),479.0,True,Fork length,173.0,193.0
Banded galjoen (M&F),479.0,True,Fork length,174.0,196.6
Banded galjoen (M&F),479.0,True,Fork length,175.0,200.2
Banded galjoen (M&F),479.0,True,Fork length,176.0,203.8
Banded galjoen (M&F),479.0,True,Fork length,177.0,207.5
Banded galjoen (M&F),479.0,True,Fork length,178.0,211.2
Banded galjoen (M&F),479.0,True,Fork length,179.0,214.9
Banded galjoen (M&F),479.0,True,Fork length,180.0,218.8
Banded galjoen (M&F),479.0,True,Fork length,181.0,222.6
Banded galjoen (M&F),479.0,True,Fork length,182.0,226.5
Banded galjoen (M&F),479.0,True,Fork length,183.0,230.5
Banded galjoen (M&F),479.0,True,Fork length,184.0,234.5
Banded galjoen (M&F),479.0,True,Fork length,185.0,238.5
Banded galjoen (M&F),479.0,True,Fork length,186.0,242.6
Banded galjoen (M&F),479.0,True,Fork length,187.0,246.7
Banded galjoen (M&F),479.0,True,Fork length,188.0,250.9
Banded galjoen (M&F),479.0,True,Fork length,189.0,255.1
Banded galjoen (M&F),479.0,True,Fork length,190.0,259.4
Banded galjoen (M&F),479.0,True,Fork length,191.0,263.7
Banded galjoen (M&F),479.0,True,Fork length,192.0,268.1
Banded galjoen (M&F),479.0,True,Fork length,193.0,272.6
Banded galjoen (M&F),479.0,True,Fork length,194.0,277.0
Banded galjoen (M&F),479.0,True,Fork length,195.0,281.6
Banded galjoen (M&F),479.0,True,Fork length,196.0,286.1
Banded galjoen (M&F),479.0,True,Fork length,197.0,290.8
Banded galjoen (M&F),479.0,True,Fork length,198.0,295.4
Banded galjoen (M&F),479.0,True,Fork length,199.0,300.2
Banded galjoen (M&F),479.0,True,Fork length,200.0,305.0
Banded galjoen (M&F),479.0,True,Fork length,201.0,309.8
Banded galjoen (M&F),479.0,True,Fork length,202.0,314.7
Banded galjoen (M&F),479.0,True,Fork length,203.0,319.6
Banded galjoen (M&F),479.0,True,Fork length,204.0,324.6
Banded galjoen (M&F),479.0,True,Fork length,205.0,329.6
Banded galjoen (M&F),479.0,True,Fork length,206.0,334.7
Banded galjoen (M&F),479.0,True,Fork length,207.0,339.9
Banded galjoen (M&F),479.0,True,Fork length,208.0,345.1
Banded galjoen (M&F),479.0,True,Fork length,209.0,350.4
Banded galjoen (M&F),479.0,True,Fork length,210.0,355.7
Banded galjoen (M&F),479.0,True,Fork length,211.0,361.0
Banded galjoen (M&F),479.0,True,Fork length,212.0,366.5
Banded galjoen (M&F),479.0,True,Fork length,213.0,371.9
Banded galjoen (M&F),479.0,True,Fork length,214.0,377.5
Banded galjoen (M&F),479.0,True,Fork length,215.0,383.1
Banded galjoen (M&F),479.0,True,Fork length,216.0,388.7
Banded galjoen (M&F),479.0,True,Fork length,217.0,394.4
Banded galjoen (M&F),479.0,True,Fork length,218.0,400.2
Banded galjoen (M&F),479.0,True,Fork length,219.0,406.0
Banded galjoen (M&F),479.0,True,Fork length,220.0,411.9
Banded galjoen (M&F),479.0,True,Fork length,221.0,417.8
Banded galjoen (M&F),479.0,True,Fork length,222.0,423.8
Banded galjoen (M&F),479.0,True,Fork length,223.0,429.8
